MouseId,Group,Cohort,OF_time_in_center_seconds,DLBT_number_of_entries,DLBT_latency_seconds,DLBT_time_in_light_seconds,EPM_proportion_entries_to_open,EPM_total_entries,EPM_percentage_time_on_open
Drd2loxP1,Ctrl,1,215.9166667,15,11,89,0.307692308,13,7.224334601
Drd2loxP2,Ctrl,1,230.0333333,8,25,111,0.272727273,11,4.044117647
Drd2loxP3,Ctrl,1,247.2,17,15,145,0.1875,16,3.875968992
Drd2loxP4,Ctrl,1,205.2833333,10,43,111,0.142857143,14,5.747126437
Drd2loxP5,CeADrd2KO,1,246.85,10,24,80,0.266666667,15,3.745318352
Drd2loxP6,CeADrd2KO,1,216.2,10,45,110,0.142857143,7,0.704225352
Drd2loxP7,CeADrd2KO,1,225.7333333,8,33,64,0.25,4,0.687285223
Drd2loxP8,CeADrd2KO,1,217.6833333,13,29,91,0.153846154,13,2.362204724
Drd2loxP9,Ctrl,2,236.7666667,10,26,97,0.238095238,21,5.511811024
Drd2loxP10,Ctrl,2,209.8166667,8,33,124,0.294117647,17,13.17829457
Drd2loxP11,Ctrl,2,217.45,9,22,104,0.35,20,19.140625
Drd2loxP12,Ctrl,2,228.4,12,25,142,0.380952381,21,19.91525424
Drd2loxP13,CeADrd2KO,2,214.5666667,7,21,104,0.166666667,12,2.166064982
Drd2loxP14,CeADrd2KO,2,210.8166667,7,53,54,0.266666667,15,10.98484848
Drd2loxP15,CeADrd2KO,2,221.6166667,8,69,94,0.347826087,23,17.3553719
Drd2loxP16,CeADrd2KO,2,215.2833333,6,73,88,0.346153846,26,15.41666667
Drd2loxP17,CeADrd2KO,2,227.05,8,35,68,0.24,25,18.6440678
